ProductName,TotalQuantity,TotalRevenue,AverageUnitPrice,ProfitPerUnit
Product 422,83,957,11.5301,6.5301
Product 577,83,872,10.506,8.3253
Product 319,83,548,6.6024,4.1445
Product 621,83,239,2.8795,1.0361
Product 704,83,717,8.6385,6.4096
Product 618,82,604,7.3658,6.1463
Product 755,82,1413,17.2317,13.878
Product 348,82,1308,15.9512,14.6585
Product 309,82,321,3.9146,2.6341
Product 264,82,466,5.6829,3.8902
Product 495,82,961,11.7195,9.6219
Product 345,81,587,7.2469,6.5308
Product 324,81,942,11.6296,9.2098
Product 220,81,1125,13.8888,10.2716
Product 985,81,660,8.1481,4.8271
Product 977,80,691,8.6375,5.8875
Product 921,80,845,10.5625,8.4625
Product 88,79,568,7.1898,5.9873
Product 622,79,916,11.5949,8.8607
Product 291,79,953,12.0632,10.6962
Product 263,79,1192,15.0886,13.8101
Product 601,78,1311,16.8076,14.4871
Product 737,78,851,10.9102,7.8205
Product 812,78,372,4.7692,4.141
Product 909,78,101,1.2948,0.3589
Product 993,77,512,6.6493,5.2727
Product 837,77,1355,17.5974,15.7532
Product 860,77,1441,18.7142,15.1558
Product 799,77,1987,25.8051,20.7792
Product 641,77,357,4.6363,3.3376
Product 349,77,823,10.6883,7.1818
Product 273,76,495,6.5131,5.3289
Product 238,76,767,10.0921,8.421
Product 491,76,599,7.8815,6.1184
Product 446,76,916,12.0526,8.7763
Product 932,76,1339,17.6184,15.3421
Product 74,75,1037,13.8266,10.3333
Product 55,75,1461,19.48,17.5466
Product 545,75,1355,18.0666,12.52
Product 591,75,513,6.84,4.88
Product 232,75,569,7.5866,6.16
Product 3,75,1074,14.32,10.4266
Product 340,74,1053,14.2297,12.3513
Product 538,74,621,8.3918,5.8918
Product 78,74,393,5.3108,1.9189
Product 845,74,1299,17.554,14.3243
Product 971,74,885,11.9594,9
Product 874,73,965,13.2191,10.5616
Product 8,73,245,3.3561,1.5753
Product 709,73,697,9.5479,5.5616
Product 506,73,1083,14.8356,12.9863
Product 6,73,830,11.3698,8.1643
Product 474,73,750,10.2739,8.8219
Product 275,73,964,13.2054,10.4657
Product 242,72,803,11.1527,7.3611
Product 353,72,1024,14.2222,11.7222
Product 614,72,1727,23.9861,20.7916
Product 592,72,602,8.3611,6.6944
Product 420,71,1431,20.1549,17.2253
Product 692,71,1362,19.183,16.0845
Product 715,71,822,11.5774,9
Product 866,71,1253,17.6478,12.8873
Product 782,70,1501,21.4428,15.8714
Product 758,70,451,6.4428,5.3142
Product 72,70,1009,14.4142,12.0142
Product 664,70,416,5.9428,4.3
Product 397,70,1606,22.9428,18.8142
Product 248,70,1471,21.0142,18.2428
Product 123,69,1003,14.5362,12
Product 381,69,843,12.2173,9.5797
Product 611,69,280,4.0579,1.6811
Product 572,69,325,4.7101,4
Product 576,69,633,9.1739,7.4057
Product 822,69,1395,20.2173,15.1159
Product 905,69,1231,17.8405,14.1739
Product 910,69,665,9.6376,6.4492
Product 969,68,1500,22.0588,18.8823
Product 978,68,435,6.397,5.2941
Product 771,68,684,10.0588,8
Product 757,68,521,7.6617,5.1176
Product 740,68,874,12.8529,10.9705
Product 690,68,817,12.0147,8.4264
Product 131,68,1351,19.8676,16.2647
Product 331,68,949,13.9558,11.5588
Product 304,67,1290,19.2537,16.4029
Product 282,67,566,8.4477,7.582
Product 358,67,827,12.3432,10.8656
Product 46,67,721,10.7611,7.7462
Product 959,67,45,0.6716,-0.8059
Product 924,67,373,5.5671,3.2985
Product 883,67,450,6.7164,3.8358
Product 884,66,318,4.8181,3.3636
Product 672,66,776,11.7575,10.4242
Product 647,66,911,13.803,11.3181
Product 296,66,836,12.6666,10.0303
Product 346,66,419,6.3484,4.4545
Product 1000,66,612,9.2727,6.8181
Product 336,65,234,3.6,2.0307
Product 314,65,645,9.923,6.6
Product 272,65,660,10.1538,5.7846
Product 492,65,461,7.0923,5.2923
Product 549,65,817,12.5692,8.3538
Product 644,65,1329,20.4461,16.523
Product 695,65,841,12.9384,7.3846
Product 686,65,533,8.2,7.4923
Product 776,64,647,10.1093,6.3125
Product 900,64,393,6.1406,3.25
Product 482,64,302,4.7187,3.0937
Product 339,64,558,8.7187,7.0625
Product 47,63,1086,17.238,13.3015
Product 662,63,901,14.3015,11.9047
Product 879,62,1337,21.5645,18.4516
Product 414,62,615,9.9193,8.5806
Product 511,62,1073,17.3064,13.5806
Product 293,62,1743,28.1129,23.758
Product 200,61,816,13.377,10.0491
Product 560,61,175,2.8688,0.5737
Product 37,61,1006,16.4918,14.9672
Product 380,61,1429,23.4262,20.1475
Product 996,61,882,14.459,12.7868
Product 685,61,770,12.6229,10.3114
Product 700,60,414,6.9,3.5333
Product 889,60,1115,18.5833,12.8
Product 91,60,572,9.5333,5.6666
Product 207,60,648,10.8,6.1
Product 287,60,538,8.9666,4.9333
Product 403,59,117,1.983,-1.2033
Product 941,59,790,13.3898,9.2711
Product 724,59,889,15.0677,11.1694
Product 665,59,918,15.5593,9.8644
Product 742,59,408,6.9152,3.7457
Product 747,58,464,8,3.9137
Product 636,58,889,15.3275,12.3965
Product 961,58,947,16.3275,12.3965
Product 454,58,1107,19.0862,13.9482
Product 50,58,951,16.3965,11.1724
Product 250,58,589,10.1551,8.4137
Product 337,58,769,13.2586,9.9482
Product 194,58,478,8.2413,5.6206
Product 519,57,851,14.9298,13.7368
Product 386,57,954,16.7368,13.0701
Product 679,57,1301,22.8245,20.1403
Product 516,56,493,8.8035,5.8928
Product 313,56,883,15.7678,11.9642
Product 224,56,838,14.9642,9.9464
Product 284,56,769,13.7321,11.0357
Product 261,55,657,11.9454,7.709
Product 352,55,455,8.2727,6.8545
Product 698,55,1058,19.2363,15.6545
Product 678,54,601,11.1296,8.7592
Product 986,54,741,13.7222,10.1851
Product 928,54,898,16.6296,14.2037
Product 893,54,827,15.3148,12.2407
Product 196,54,164,3.037,0.9259
Product 174,53,247,4.6603,3.8113
Product 14,53,525,9.9056,7.3584
Product 235,53,835,15.7547,13.7358
Product 902,53,1189,22.4339,18.3207
Product 99,53,409,7.7169,4.1886
Product 974,52,466,8.9615,7.9423
Product 63,52,975,18.75,15.2692
Product 286,52,313,6.0192,3.1346
Product 500,52,787,15.1346,11.4038
Product 442,52,1017,19.5576,15.5576
Product 419,51,376,7.3725,5.2745
Product 566,51,523,10.2549,6.5098
Product 146,51,688,13.4901,11.6666
Product 652,51,437,8.5686,3.745
Product 855,51,535,10.4901,7.7254
Product 934,51,285,5.5882,2.9215
Product 734,50,1027,20.54,16.52
Product 320,50,178,3.56,1.52
Product 299,49,194,3.9591,0.9387
Product 332,49,471,9.6122,5.5102
Product 109,49,31,0.6326,0.1836
Product 203,49,894,18.2448,12.4081
Product 600,49,405,8.2653,6.2244
Product 417,49,274,5.5918,1.3673
Product 659,49,198,4.0408,1.7551
Product 793,48,820,17.0833,14.8958
Product 94,48,698,14.5416,12.1875
Product 441,48,802,16.7083,13.6875
Product 315,48,304,6.3333,6.2291
Product 28,47,713,15.1702,10.9148
Product 162,47,471,10.0212,6.1914
Product 24,46,433,9.413,6.9347
Product 355,46,810,17.6086,15.4347
Product 885,46,354,7.6956,5.5217
Product 824,46,416,9.0434,7.913
Product 281,45,905,20.1111,17.2222
Product 192,44,530,12.0454,9.6818
Product 521,44,224,5.0909,0.9318
Product 869,44,339,7.7045,5.6818
Product 435,43,853,19.8372,16.2093
Product 223,43,472,10.9767,10.2325
Product 498,42,462,11,10.5952
Product 624,42,586,13.9523,12.0714
Product 739,42,580,13.8095,9.0952
Product 209,41,1132,27.6097,22.9024
Product 178,40,603,15.075,12.05
Product 367,40,433,10.825,10.275
Product 651,40,814,20.35,18.45
Product 86,40,468,11.7,9.05
Product 754,39,394,10.1025,5.0512
Product 810,38,732,19.2631,17.3157
Product 839,38,379,9.9736,8.0526
Product 721,38,690,18.1578,15.6578
Product 915,38,620,16.3157,12.9473
Product 957,38,500,13.1578,11.0789
Product 789,37,608,16.4324,13.7837
Product 469,37,505,13.6486,11.3783
Product 240,37,532,14.3783,12.5675
Product 904,36,318,8.8333,6.3333
Product 895,35,934,26.6857,22.9142
Product 188,35,564,16.1142,13.2
Product 148,34,52,1.5294,0.6764
Product 252,34,547,16.0882,12.5
Product 456,34,749,22.0294,20.4411
Product 365,34,805,23.6764,21.5882
Product 369,34,543,15.9705,12.4705
Product 97,34,566,16.647,9.7352
Product 965,34,860,25.2941,22.5882
Product 691,34,93,2.7352,2.0294
Product 640,33,435,13.1818,8.3939
Product 868,33,1037,31.4242,26.6666
Product 596,33,364,11.0303,7.1818
Product 833,32,815,25.4687,21.3125
Product 783,31,159,5.129,3.1935
Product 476,31,128,4.129,1.4193
Product 645,30,226,7.5333,3.8333
Product 619,29,51,1.7586,-1.6551
Product 450,29,671,23.1379,17.4827
Product 139,28,65,2.3214,0.0714
Product 180,28,385,13.75,13.2857
Product 277,27,490,18.1481,14.3703
Product 532,27,355,13.1481,8.6296
Product 233,26,751,28.8846,24.4615
Product 176,26,376,14.4615,10.1923
Product 858,26,240,9.2307,8.1538
Product 931,26,67,2.5769,0.5384
Product 271,25,398,15.92,12.44
Product 599,24,600,25,24.3333
Product 979,24,606,25.25,21.375
Product 92,23,429,18.6521,14.913
Product 607,23,309,13.4347,9.4782
Product 520,23,481,20.913,13.1304
Product 542,23,68,2.9565,-1.5217
Product 38,23,590,25.6521,21.7391
Product 27,23,359,15.6086,14.3043
Product 231,22,77,3.5,2.0909
Product 333,22,33,1.5,-0.3636
Product 509,22,579,26.3181,18.4545
Product 629,22,785,35.6818,32.6818
Product 861,20,669,33.45,27.15
Product 318,20,502,25.1,23.05
Product 901,19,678,35.6842,31.4736
Product 946,18,373,20.7222,18.4444
Product 725,17,505,29.7058,24.3529
Product 452,17,534,31.4117,21.5882
Product 84,16,605,37.8125,36.4375
Product 880,15,202,13.4666,12.5333
Product 204,12,508,42.3333,35.4166
Product 247,11,364,33.0909,27.5454
Product 503,11,401,36.4545,32.6363
Product 583,11,377,34.2727,19.8181
Product 687,9,291,32.3333,30.7777
Product 75,8,441,55.125,43.625
Product 90,6,401,66.8333,56.8333
Product 998,6,260,43.3333,33.5
Product 453,6,311,51.8333,44
Product 366,5,410,82,72.4
Product 912,5,609,121.8,97.6
Product 298,4,348,87,64
Product 52,2,116,58,25.5
Product 208,1,268,268,196
Product 1,1,167,167,91
Product 693,1,195,195,126
